City Name,Zone Name,CCTV Junction No.,CCTV Pole No.,CCTV LOCATION
Nagpur,Dhantoli,276,Pole 1,Dosar Bhavan Chowk
Nagpur,Gandhibagh,277,Pole 1,Tanga Stand Chowk
Nagpur,Gandhibagh,278,Pole 1,Sahid Chowk
Nagpur,Gandhibagh,279,Pole 1,Nikalas Mandir Chowk
Nagpur,Satranjipura ,280,Pole 1,Bharat Mata Chowk
Nagpur,Gandhibagh,281,Pole 1,Tinal Chowk
Nagpur,Gandhibagh,282,Pole 1,Ganjakhet Chowk
Nagpur,Gandhibagh,283,Pole 1,Timki Tin Khamba
Nagpur,Gandhibagh,284,Pole 1,Mominpura Chowk
Nagpur,Gandhibagh,285,Pole 1,Bhankheda Ambedkar Putla
Nagpur,Gandhibagh,286,Pole 1,Gurd Line Chowk
Nagpur,Gandhibagh,287,Pole 1,Bhagwaghar Chowk
Nagpur,Gandhibagh,287,Pole 2,Bhagwaghar Chowk
Nagpur,Gandhibagh,288,Pole 1,Lal Imli Chowk
Nagpur,Gandhibagh,289,Pole 1,Sut Market
Nagpur,Gandhibagh,290,Pole 1,Nanga putla Chowk
Nagpur,Gandhibagh,291,Pole 1,City Post Office Itwari
Nagpur,Satranjipura,292,Pole 1,Memon Jamat Bangali panja
Nagpur,Satranjipura,293,Pole 1,Timki Dadra Pul
Nagpur,Satranjipura,294,Pole 1,Resham oli Bohara Masjid
Nagpur,Gandhibagh,295,Pole 1,C.A. Road Gandhi square
Nagpur,Gandhibagh,295,Pole 2,C.A. Road Gandhi square
Nagpur,Gandhibagh,296,Pole 1,Badkas square
Nagpur,Gandhibagh,297,Pole 1,Chitanawis park square
Nagpur,Gandhibagh,298,Pole 1,Aaychit Mandir bus stop
Nagpur,Gandhibagh,298,Pole 2,Aaychit Mandir bus stop
Nagpur,Gandhibagh,299,Pole 1,Zenda chowk
Nagpur,Gandhibagh,300,Pole 1,Gandhi Gate
Nagpur,Hanuman nagar,301,Pole 1,Ram cooler square
Nagpur,Gandhibagh,302,Pole 1,C.P. & Berar square
Nagpur,Gandhibagh,302,Pole 2,C.P. & Berar square
Nagpur,Hanuman nagar,303,Pole 1,Apsara square
Nagpur,Hanuman nagar,303,Pole 2,Apsara square
Nagpur,Nehru Nagar,304,Pole 1,Bhola Ganesh chowk
Nagpur,Nehru Nagar,304,Pole 2,Bhola Ganesh chowk
Nagpur,Nehru Nagar,305,Pole 1,Gajanan square
Nagpur,Nehru Nagar,306,Pole 1,Tiranga square
Nagpur,Nehru Nagar,307,Pole 1,Nandanwan cement road
Nagpur,Nehru Nagar,308,Pole 1,Old shukrawari Gandhi statue
Nagpur,Gandhibagh,309,Pole 1,Mahal square
Nagpur,Gandhibagh,309,Pole 2,Mahal square
Nagpur,Gandhibagh,310,Pole 1,Kalyaneshwar Mandir
Nagpur,Gandhibagh,311,Pole 1,Matru seva sangha hospital
Nagpur,Nehru Nagar,312,Pole 1,S.D. Hospital square
Nagpur,Nehru Nagar,313,Pole 1,Mahawir Gardan
Nagpur,Gandhibagh,314,Pole 1,Bhosla wed school
Nagpur,Gandhibagh,315,Pole 1,Manepura square
Nagpur,Nehru Nagar,316,Pole 1,Jagnade square
Nagpur,Nehru Nagar,316,Pole 2,Jagnade Sqaure
Nagpur,Nehru Nagar,317,Pole 1,Mahila mahavidyalaya square
Nagpur,Gandhibagh,318,Pole 1,Chitrs talkies gate
Nagpur,Dhantoli,319,Pole 1,Empress Mill T-point
Nagpur,Dhantoli,320,Pole 1,Backside of ST stand Main Gate ST Bus Stand
